raga	f1_supervised	f1_semi_supervised	difference
abhogi	0.3134778192698569	0.6547652465407087	0.34128742727085176
begada	0.22559847093691507	0.5314900738775375	0.30589160294062245
kalyani	0.3668767416665126	0.5548448284091024	0.18796808674258986
mohanam	0.38486464245130325	0.6726137936607198	0.2877491512094166
sahana	0.1601800812760585	0.5322181520119257	0.37203807073586714
saveri	0.5069131203305257	0.6926737908674694	0.18576067053694367
sri	0.36801273115458943	0.5586172805947603	0.1906045494401709
